Dec 05 2015 01: +0,5.584,1305
Dec 06 2015 01: +0,5.535,1870
Dec 07 2015 01: +0,5.535,1679
Dec 08 2015 01: +0,5.618,1319
Dec 09 2015 01: +0,5.614,1753
Dec 10 2015 01: +0,6.049,2552
Dec 11 2015 01: +0,5.661,1708
Dec 12 2015 01: +0,5.646,2175
Dec 13 2015 01: +0,5.801,2360
Dec 14 2015 01: +0,5.895,2073
Dec 15 2015 01: +0,5.758,1506
Dec 16 2015 01: +0,5.8,1376
Dec 17 2015 01: +0,5.824,1312
Dec 18 2015 01: +0,5.754,1628
Dec 19 2015 01: +0,5.809,1738
Dec 20 2015 01: +0,5.753,1697
Dec 21 2015 01: +0,5.451,2004
Dec 22 2015 01: +0,5.187,3441
Dec 23 2015 01: +0,4.81,3575
Dec 24 2015 01: +0,4.735,3103
Dec 25 2015 01: +0,4.761,2637
Dec 26 2015 01: +0,5.032,2596
Dec 27 2015 01: +0,5.045,2906
Dec 28 2015 01: +0,5.136,2949
Dec 29 2015 01: +0,5.207,2958
Dec 30 2015 01: +0,5.078,3384
Dec 31 2015 01: +0,4.948,2688
Jan 01 2016 01: +0,4.967,3313
Jan 02 2016 01: +0,4.871,3552
Jan 03 2016 01: +0,4.837,4098
Jan 04 2016 01: +0,4.79,4046
Jan 05 2016 01: +0,4.904,2660
Jan 06 2016 01: +0,4.972,2332
Jan 07 2016 01: +0,4.914,2399
Jan 08 2016 01: +0,4.901,2959
Jan 09 2016 01: +0,4.899,3013
Jan 10 2016 01: +0,4.914,3316
Jan 11 2016 01: +0,4.88,2518
Jan 12 2016 01: +0,4.867,2672
Jan 13 2016 01: +0,4.92,1943
Jan 14 2016 01: +0,4.947,2392
Jan 15 2016 01: +0,4.901,1947
Jan 16 2016 01: +0,4.889,2294
Jan 17 2016 01: +0,4.948,2089
Jan 18 2016 01: +0,4.927,1725
Jan 19 2016 01: +0,4.91,1980
Jan 20 2016 01: +0,4.892,1553
Jan 21 2016 01: +0,4.856,1876
Jan 22 2016 01: +0,5.058,2553
Jan 23 2016 01: +0,4.935,1410
Jan 24 2016 01: +0,4.875,1783
Jan 25 2016 01: +0,4.848,1524
Jan 26 2016 01: +0,4.876,1584
Jan 27 2016 01: +0,5.127,1580
Jan 28 2016 01: +0,4.963,1386
Jan 29 2016 01: +0,4.974,1390
Jan 30 2016 01: +0,4.938,1442
Jan 31 2016 01: +0,4.934,1530
Feb 01 2016 01: +0,4.938,1585
Feb 02 2016 01: +0,4.904,1781
Feb 03 2016 01: +0,5.511,1952
Feb 04 2016 01: +0,4.98,1290
Feb 05 2016 01: +0,5.004,1407
Feb 06 2016 01: +0,4.933,1898
Feb 07 2016 01: +0,4.865,1905
Feb 08 2016 01: +0,4.833,1768
Feb 09 2016 01: +0,4.834,1568
Feb 10 2016 01: +0,4.853,1407
Feb 11 2016 01: +0,5.407,2001
Feb 12 2016 01: +0,4.796,2033
